"id_empleado","nombre","correo","fecha_contrato","salario","ventas"
84,"Jose","pedro.84@email.com","2025-12-19",219.00,"Monitor"
85,"Carlos","sofia.85@email.com","2025-07-23",4740.00,"Teclado"
86,"Maria","maria.86@email.com","2025-03-26",3795.00,"Laptop"
87,"Juan","elena.87@email.com","2025-10-06",2815.00,"Teclado"
88,"Jose","elena.88@email.com","2025-01-22",4019.00,"Teclado"
89,"Elena","ana.89@email.com","2025-07-02",277.00,"Impresora"
90,"Isabel","jose.90@email.com","2025-11-05",2802.00,"Mouse"
91,"Pedro","ana.91@email.com","2025-09-22",672.00,"Teclado"
92,"Sofia","carlos.92@email.com","2025-11-05",3114.00,"Teclado"
93,"Isabel","maria.93@email.com","2026-04-08",692.00,"Monitor"
94,"Elena","maria.94@email.com","2025-08-19",4771.00,"Impresora"
95,"Maria","jose.95@email.com","2025-06-15",4874.00,"Teclado"
96,"Ana","carlos.96@email.com","2025-06-05",1641.00,"Teclado"
97,"Carlos","isabel.97@email.com","2025-09-20",2695.00,"Mouse"
98,"Carlos","ana.98@email.com","2025-12-26",3615.00,"Impresora"
99,"Isabel","jose.99@email.com","2025-05-06",1617.00,"Laptop"
100,"Luis","pedro.100@email.com","2026-04-27",4050.00,"Laptop"
101,"Ana Gómez","Ana@correo.mail","2020-12-03",9000.00,"computadora gamer"
